No.;Time;Source;Destination;Protocol;Length;Info
1;0;192.168.43.84;142.251.10.94;TCP;55;52950  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU]
2;0.078865;142.251.10.94;192.168.43.84;TCP;66;443  >  52950 [ACK] Seq=1 Ack=2 Win=355 Len=0 SLE=1 SRE=2
3;1.739753;192.168.43.84;140.213.63.45;QUIC;1292;Initial, DCID=3ca6483874d56de3, PKN: 1, PADDING, PING, PING, CRYPTO, PADDING, PING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO
4;1.743338;192.168.43.84;140.213.63.45;QUIC;117;0-RTT, DCID=3ca6483874d56de3
5;1.744374;192.168.43.84;140.213.63.45;QUIC;1288;0-RTT, DCID=3ca6483874d56de3
6;1.744623;192.168.43.84;140.213.63.45;QUIC;383;0-RTT, DCID=3ca6483874d56de3
7;1.867205;140.213.63.45;192.168.43.84;QUIC;1292;Handshake, SCID=3ca6483874d56de3
8;1.867721;140.213.63.45;192.168.43.84;QUIC;1292;Handshake, SCID=3ca6483874d56de3
9;1.867721;140.213.63.45;192.168.43.84;QUIC;1292;Handshake, SCID=3ca6483874d56de3
10;1.867721;140.213.63.45;192.168.43.84;QUIC;1292;Handshake, SCID=3ca6483874d56de3
11;1.868058;192.168.43.84;140.213.63.45;QUIC;83;Handshake, DCID=3ca6483874d56de3
12;1.868348;192.168.43.84;140.213.63.45;QUIC;83;Handshake, DCID=3ca6483874d56de3
13;1.869078;140.213.63.45;192.168.43.84;QUIC;431;Protected Payload (KP0)
14;1.869923;192.168.43.84;140.213.63.45;QUIC;130;Handshake, DCID=3ca6483874d56de3
15;1.870085;192.168.43.84;140.213.63.45;QUIC;1292;Protected Payload (KP0), DCID=3ca6483874d56de3
16;1.870175;192.168.43.84;140.213.63.45;QUIC;407;Protected Payload (KP0), DCID=3ca6483874d56de3
17;1.968795;140.213.63.45;192.168.43.84;QUIC;572;Protected Payload (KP0)
18;1.968795;140.213.63.45;192.168.43.84;QUIC;130;Protected Payload (KP0)
19;1.969585;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
20;1.97538;140.213.63.45;192.168.43.84;QUIC;67;Protected Payload (KP0)
21;1.976302;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
22;1.976302;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
23;1.97712;192.168.43.84;140.213.63.45;QUIC;77;Protected Payload (KP0), DCID=3ca6483874d56de3
24;1.980117;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
25;1.980604;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
26;1.984493;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
27;1.987002;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
28;1.987678;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
29;1.988045;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
30;1.990485;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
31;1.990867;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
32;1.996837;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
33;1.996998;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
34;1.997385;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
35;1.998362;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
36;2.002394;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
37;2.003019;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
38;2.005101;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
39;2.005346;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
40;2.005835;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
41;2.010667;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
42;2.010938;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
43;2.011307;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
44;2.014905;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
45;2.018243;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
46;2.018778;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
47;2.021188;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
48;2.027373;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
49;2.027729;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
50;2.027986;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
51;2.031089;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
52;2.031279;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
53;2.031647;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
54;2.04206;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
55;2.042617;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
56;2.042686;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
57;2.042686;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
58;2.042686;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
59;2.043147;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
60;2.053197;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
61;2.053756;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
62;2.055745;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
63;2.05656;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
64;2.05656;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
65;2.05656;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
66;2.05709;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
67;2.057401;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
68;2.058204;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
69;2.06011;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
70;2.060569;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
71;2.062934;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
72;2.065303;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
73;2.065805;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
74;2.070359;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
75;2.070612;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
76;2.07096;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
77;2.075584;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
78;2.085767;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
79;2.085767;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
80;2.085767;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
81;2.085767;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
82;2.086551;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
83;2.086893;192.168.43.84;140.213.63.45;QUIC;78;Protected Payload (KP0), DCID=3ca6483874d56de3
84;2.087588;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
85;2.088049;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
86;2.090086;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
87;2.09359;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
88;2.09406;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
89;2.094414;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
90;2.099432;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
91;2.099614;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
92;2.099962;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
93;2.104851;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
94;2.105179;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
95;2.105561;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
96;2.110319;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
97;2.110954;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
98;2.112403;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
99;2.122791;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
100;2.123;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
101;2.123129;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
102;2.123285;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
103;2.123285;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
104;2.123285;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
105;2.123383;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
106;2.123743;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
107;2.123958;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
108;2.130363;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
109;2.130578;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
110;2.130923;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
111;2.141338;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
112;2.14151;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
113;2.141888;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
114;2.142118;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
115;2.142118;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
116;2.142368;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
117;2.142456;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
118;2.142813;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
119;2.144742;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
120;2.149515;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
121;2.150035;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
122;2.150228;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
123;2.150228;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
124;2.150228;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
125;2.150879;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
126;2.155751;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
127;2.156004;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
128;2.156004;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
129;2.156309;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
130;2.156689;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
131;2.158286;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
132;2.174764;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
133;2.174764;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
134;2.174764;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
135;2.174764;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
136;2.174764;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
137;2.174764;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
138;2.174764;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
139;2.174764;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
140;2.175816;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
141;2.176305;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
142;2.176716;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
143;2.177185;192.168.43.84;140.213.63.45;QUIC;80;Protected Payload (KP0), DCID=3ca6483874d56de3
144;2.180126;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
145;2.180314;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
146;2.180314;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
147;2.180314;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
148;2.180701;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
149;2.18118;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
150;2.182046;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
151;2.18253;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
152;2.182893;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
153;2.182893;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
154;2.183481;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
155;2.184152;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
156;2.188138;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
157;2.188138;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
158;2.188138;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
159;2.188138;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
160;2.188675;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
161;2.188957;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
162;2.191159;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
163;2.191655;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
164;2.191817;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
165;2.191817;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
166;2.191817;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
167;2.194651;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
168;2.194813;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
169;2.196707;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
170;2.197389;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
171;2.197389;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
172;2.197389;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
173;2.199289;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
174;2.199493;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
175;2.19975;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
176;2.20107;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
177;2.202627;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
178;2.203238;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
179;2.203238;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
180;2.204213;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
181;2.204785;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
182;2.207954;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
183;2.208828;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
184;2.208828;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
185;2.208828;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
186;2.208828;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
187;2.209099;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
188;2.209303;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=3ca6483874d56de3
189;2.221272;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
190;2.22159;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
191;2.223229;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
192;2.224187;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
193;2.224187;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
194;2.224187;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
